title,location,department,salary_range,company_profile,description,requirements,benefits,telecommuting,has_company_logo,has_questions,employment_type,required_experience,required_education,industry,function,fraudulent,in_balanced_dataset
Urgent Requirement For The Position Technical Lead - Rhomobile Technical Mobility Lead Developer,"US, CA, ",,55-65,,"<ol>
<li>
<b>1.    </b><b>Technical Lead - Rhomobile Technical Mobility Lead Developer </b>
</li>
</ol><p> </p>
<p>NOTES-  In case if Rhomobile is difficult to find, Please find people with expertise in Android development with, DOJO, CSS</p>
<p><b> </b></p>
<p>Location: San Francisco/ San Ramon, CA</p>
<p>Duration: 1 year</p>
<p> </p>
<p><b>Required Competencies:</b></p>
<p><b> </b></p>
<ul>
<li>Should have around 6-10 yrs of IT Experience- out of which minimum 2yrs as Tech Lead of Mobile Projects</li>
<li>Experience in RhoMobile Platform for atleast 6 Months</li>
<li>Should be experienced in Cross Platform Mobile apps.</li>
<li>Proficiency in atleast one Native Platform – iOS or Android</li>
<li>Hands-on Experience essential</li>
<li>Should be able to lead a team and guide them in Technical challenges</li>
<li>Should be able to estimate and plan for the various activities</li>
<li>Integration Experience with Backend Systems Essential. Out of this , SAP Integration Experience is desirable</li>
<li>ESRI ArcGIS Knowledge Essential</li>
</ul><p> </p>
<p></p>
<p> </p>
<p><b>Thanks and Regards</b></p>
<p><b> </b></p>
<p><b>J.Sandeep</b></p>
<p><b>Technical Recruiter</b><b></b></p>
<p>TekWissen LLC | W: #PHONE_b464fe6050e48f0c36d00501265378e9581d5d65c73f8e39865543c69aaab557# | Desk: #PHONE_46ed5da44d683bbb700c54f51cd225fc80203b64e1c674f7e6d9f826a0223f31# Ext 299 | Fax <a href=""mailto:#EMAIL_c284027bc8303deedcd8f05c5ba2b16700b7455cdccb2fca67de5ae5c1fbb794#"">#PHONE_c92713f1c7155e946cc5b07c854ce554f3c95f79f2cbd98500e3cfa2db4ba406#||</a> <a href=""mailto:#EMAIL_5f904f421f564976259f740a5c3ee9868cab5264ce252cf686be79da28bffd45#"">#EMAIL_5f904f421f564976259f740a5c3ee9868cab5264ce252cf686be79da28bffd45#</a> |  321 S Main street Suite #300 Ann Arbor MI – 48104| <a href=""#URL_86e7a91720119abdf3850cf447d58233e6fb20c71c566b9fc6f06b9722e1295e#"">#URL_3b7a90492e728246f2b56db07b079519d22b68faf5d8bbbd4e11a827db01e3ea#</a></p>","<p><b>Requirement / JD:</b></p>
<p> </p>
<ul>
<li>Drive the mobile app development work.</li>
<li>Gather requirements from the client’s product management team</li>
<li>Suggesting the right Architecture to be adopted</li>
<li>Technical Design of the App</li>
<li>Co-ordinate with the offshore team and get the work done from offshore</li>
<li>Should be able to Architect, design, code and deploy the applications</li>
</ul><p> </p>
<p> </p>",,f,f,t,Contract,Mid-Senior level,Bachelor's Degree,Information Technology and Services,Information Technology,t,f
Personal Assistant (Support Worker) ,"GB, MLN, Edinburgh Central, South and South East",,,"<p>Social Care Alba is the highest graded Care at Home Company in the country.  We hold awards in Investors in People, Healthy Working Lives and Positive about Disability.  We are proud of our unique team of professionals who deliver outstanding individual support.</p>
<p>Our team bring so much to our business; it's only fair we bring the same energy and dedication to developing their careers in return. It's all part of our commitment to quality in everything we do. We are proud to lead the field in professional Care at Home provision. Whether you're a Personal Assistant, a Social Worker, Nurse or one of the many other roles we have on offer, we'll support your growth at every stage of your career</p>","<p>Social Care Alba is the highest quality Care at Home Provider in Scotland. We are an Investor in People and Healthy Working Lives award winner.</p>
<p>Following significant success and growth, Social Care Alba is actively recruiting Care Workers (Personal Assistants).  </p>
<p>You would be responsible for providing the highest quality care at home support, including monitoring service users health &amp; well-being, and help in administering medication. </p>
<p>You will work with and learn from our team of experienced Nurses, Social Workers, Occupational Therapists, Physiotherapist and Pharmacists.</p>
<p>Be part of a company that makes a real difference to people lives.  Your day to day tasks would include:</p>
<ul>
<li>Providing individual care and support to people in their own homes. This may include cleaning, washing and dressing, providing meals and maintaining community links.</li>
<li>You may also assist people with continence promotion, catheter care, stoma care, peg feeding, administering medication, oral health and moving and assisting.</li>
<li>You will be expected to maintain personal files and act as a key worker to service users.</li>
</ul>","<p><i><b>Key Accountabilities would be:</b></i></p>
<ul>
<li>To provide individual care and support to people in their own homes. This may include cleaning, washing and dressing, providing meals and maintaining community links.</li>
<li>To assist people with continence promotion, catheter care, stoma care, peg feeding, administering medication, oral health and moving and assisting.</li>
<li>You will be expected to maintain personal files and act as a key worker to service users.</li>
</ul><p><b><i>Your knowledge, skills and experience:</i> </b></p>
<ul>
<li>Hold an SVQ in Health and Social Care or equivalent. </li>
<li>Proven track record in helping and supporting others in a professional environment. </li>
<li>Evidence of acquired skills or experience working in a similar role.</li>
<li>The ability  to work a minimum of 20 hours per week. (Full time available, shift patterns may include evenings and weekends)</li>
</ul><p>We are looking for people that are passionate about caring for others, and who want to work in an exciting environment with significant career opportunities.</p>
<p>We are recruiting to our teams based in Edinburgh Centre, South and South East. You will be expected to travel to these locations on daily basis. </p>
<p>And due to the intimate nature of the position, you are required to complete a PVG form. </p>","<p>This is your chance to become part of our continuing success story.</p>
<p>Social Care Alba is quickly emerging as the leading care at home provider in Scotland, with an enviable reputation for winning multiple accreditations - including the investor in people award and healthy working lives.</p>
<p>We strongly believe in investing in our staff and we are currently support staffs’ education with e-learning, workshops, SVQ 2, 3, &amp; 4 all the way up to MSc.</p>
<p><b>TEN REASONS TO JOIN US: </b></p>
<p>1. Variety of hours available up to full-time <br>2. Full training given <br>3. Supervision and support. <br>4. Salary of up to £8.00 per hour depending on qualifications <br>5. 28 days Paid holiday pro rata <br>6. Support with SVQ 3 and 4 <br>7. Support with your career development <br>8. Health plan <br>9. Guaranteed hours following probationary period <br>10. You will LOVE it. </p>",f,t,t,,,,Hospital & Health Care,,f,f
General Manager,"US, NY, Brooklyn",OTC,15000-75000,"<p>WRAYS PHARMACY INC. a/k/a ""Wrays Pharmacy"" is a young New York based Corporation/Company established in the year 2013 and is currently in the business of acquiring in-business Community Retail Pharmacies. </p>
<p>The Company has recently purchased it's first location in Brooklyn, New York. The location is need of a general upgrade, expansion, and new management.</p>
<p>Wrays Pharmacy seeks to enhance the current Community by creating a facility that caters to peoples Healthcare while simultaneously creating new life and energy. The area (Kensington) is heading toward a generational positive change and Wrays Pharmacy will be ready for the meet and greet. </p>
<p>The current location is a small corner retail pharmacy (about 600 sq. ft.). Wrays Pharmacy will be tripling the square footage to approx. 2300 sq. ft. The Company would like to provide the best possible Healthcare Services across the broad spectrum of service availability.</p>
<p>The services that Wrays Pharmacy seeks to provide include (but are not limited to):</p>
<p>FILLING PRESCRIPTIONS, MEDICAL/SURGICAL SUPPLIES, COMPOUNDING, ORTHOPEDIC, MEDICAL CONSULTATION, HEALTHCARE CONSULTATION, NUTRITIONAL GUIDANCE, SALE OF RETAIL MERCHANDISE (COSMETICS, SHAMPOO, DEODERANT, SCHOOL SUPPLIES, CLOTHING, TOYS, ETC.), SOCIAL SERVICES, MEDICAL TRANSPORT SERVICES, SERVICES PROVIDED VIA INTERNET....</p>
<p>It will not be an easy task to turn a corner basic retail pharmacy into what's stated above, but we are ready for the challenge. We seek those who are ready to join us for the long haul, it will surely not take one night to achieve our goals.</p>
<p>WRAYS PHARMACY, INC. shall be comprised of a General Management Team (GTM) and an Registered Pharmacist Team (RTM)</p>
<p>We are therefore seeking individuals enthusiastic and ready to work together to accomplish an ultimate goal.</p>
<p>We are now HIRING FULL-TIME AND PART-TIME EMPLOYEES for ALL POSITIONS INCLUDING: MANAGEMENT, STATE REGISTERED PHARMACIST TECHNICIANS AND NEW YORK STATE REGSTERED PHARMACISTS.</p>
<p>A Basic knowledge of Quickbooks, Excel and Powerpoint should be known for Management. Pharmacists should familiarize themselves with DATASCAN POS Software and MicroMerchant Software.</p>
<p>WRAYS PHARMACY INC. is an Equal Opportunity Employer.</p>","<p>WRAYS PHARMACY INC. seeks to expand and upgrade it's current infrastructure and is therefore in need of qualified Management Professionals. We are seeking individuals who will be responsible for book-keeping, inventory accounting, customer service, and general maintenance of the store.</p>
<p>General Managers will work in shifts and will be required operate the shop daily. Working as a team, Managers must delegate responsibilities to others so that all daily tasks are accomplished before the beginning of the next business day.</p>
<p>This is where leadership qualifications will be looked at the most. There is much room to move up the ladder within the Company.</p>
<p>WRAYS PHARMACY INC. is an Equal Opportunity Employer.</p>
<p>All Applicants Welcome.</p>","<p>Must be familiar with Quickbooks, Excel, Microsoft Word. </p>
<p>Must be able to work well with others and interact well with consumers.</p>","<p>Benefits such as Healthcare coverage, Dental, Bonuses, and Paid Vacations shall be given on a performance-based criteria.</p>",t,t,t,,,,Pharmaceuticals,General Business,f,f
Java Architect,"US, NV, Las Vegas",,,"<p>Founded by top technical experts, Arithmica is a Software Development and Services company focussed on delivering the highest level of technical services and solutions to accelerate the business ambitions of its clients.<br><br>Our Services<br>- Application Services<br>- Enterprise Data Solutions</p>",<p>Looking for an experienced Java Architect for an immediate opening.</p>,"<ul>
<li>Deep exposure to Java based high transaction / high availability applications</li>
<li>Good understanding and hands-on with System Integration patterns</li>
<li>Message Oriented Middleware</li>
<li>Hands on Java developer with niche understanding and able to leverage Java platform’s thread and synchronization features</li>
<li>Able to perform root-cause analysis and resolve issues</li>
<li>Able to plan and execute major minor enhancements based on client requirements and Subsystem or interface changes</li>
<li>Strong Oracle knowledge to work on data persistence</li>
<li>Strong JMS knowledge</li>
</ul>",,f,t,t,Contract,Mid-Senior level,Master's Degree,Information Technology and Services,Information Technology,f,f
Customer Service Associate - Part Time ,"US, TX, Richardson",,,"<p>Novitex Enterprise Solutions, formerly Pitney Bowes Management Services, delivers innovative document and communications management solutions that help companies around the world drive business process efficiencies, increase productivity, reduce costs and improve customer satisfaction.<br><br> For almost 30 years, clients have turned to us to integrate and optimize their enterprise-wide business processes to empower employees, increase productivity and maximize results. As a trusted partner, we continually focus on delivering secure, technology-enabled document and communications solutions that improve our clients' work processes, enhance their customer interactions and drive growth.</p>","<p>The Customer Service Associate will be based in Richardson, TX. The right candidate will be an integral part of our talented team, supporting our continued growth.</p>
<p><b>Responsibilities:</b></p>
<ul>
<li>Perform various Mail Center activities (sorting, metering, folding, inserting, delivery, pickup, etc.)</li>
<li>Lift heavy boxes, files or paper when needed</li>
<li>Maintain the highest levels of customer care while demonstrating a friendly and cooperative attitude</li>
<li>Demonstrate flexibility in satisfying customer demands in a high volume, production environment</li>
<li>Consistently adhere to business procedure guidelines</li>
<li>Adhere to all safety procedures</li>
<li>Take direction from supervisor or site manager</li>
<li>Maintain all logs and reporting documentation; attention to detail</li>
<li>Participate in cross-training and perform other duties as assigned (Filing, outgoing shipments, etc)</li>
<li>Operating mailing, copy or scanning equipment</li>
<li>Shipping &amp; Receiving</li>
<li>Handle time-sensitive material like confidential, urgent packages</li>
<li>Perform other tasks as assigned</li>
<li>Scanning incoming mail to recipients</li>
<li>Perform file purges and pulls</li>
<li>Create files and ship files</li>
<li>Provide backfill when needed</li>
<li>Enter information daily into spreadsheets</li>
<li>Identify charges and match them to billing</li>
<li>Sort and deliver mail, small packages</li>
</ul>","<p><b>Minimum Requirements:</b></p>
<ul>
<li>Minimum of 6 months customer service related experience required</li>
<li>High school diploma or equivalent (GED) required</li>
</ul><p><b>Preferred Qualifications:</b></p>
<ul>
<li>Keyboarding and windows environment PC skills required (Word, Excel and PowerPoint preferred)</li>
<li>Experience running mail posting equipment a plus</li>
<li>Excellent communication skills both verbal and written</li>
<li>Lifting up to 55 lbs with or without accommodations</li>
<li>Willingness and availability to work additional hours if assigned</li>
<li>Willingness to submit to a pre-employment drug screening and criminal background check</li>
<li>Ability to effectively work individually or in a team environment</li>
<li>Competency in performing multiple functional tasks</li>
<li>Ability to meet employer's attendance policy</li>
</ul>",,f,t,f,Full-time,Entry level,High School or equivalent,Consumer Services,Customer Service,f,f
Sr. Java Developer,"US, TX, Dallas",,,,"<p>Hi,</p>
<p>Hope you are doing well.</p>
<p><b>Position: </b><i><b>Java/J2EE Sr Developer</b></i><b><i> 9+ yrs Exp Needed<br /> </i>Location: <i>Dallas, TX<br /></i>Duration : <i>12 + Months</i></b></p>
<ul>
<li>Back-End Developers primary responsibility will be designing/coding the back-end/business logic of the application</li>
<li>Candidates must know best practices development and know/follow coding standards</li>
<li>Candidates need to have a solid understanding of OO Design and recent experience with the following technologies:</li>
</ul>
<p><br /><b>Java, JEE, Struts and/or Spring, Hibernate, JBoss, EJB, XML, JMS, and strong SQL knowledge</b> <br /><br /><b>The following skills/knowledge are a PLUS:</b></p>
<ul>
<li>CMS and Mobile Development</li>
<li>Secure Coding Practices</li>
<li>PCI Data Security Standards</li>
<li>OWASP (Open Web Application Security Project)</li>
</ul>
<p><br /><br /></p>
<p><i>Regards</i>,</p>
<p><b><i>Vijay</i></b></p>",,,f,f,f,,,,,,f,f
Front-End Developer/HTML/JavaScript/CSS,"US, CA, San Francisco Bay Area",,960000-1200000,"<p>Replise was started in 2008, just a year after Twitter was launched, by a bunch of serial entrepreneurs who believed they could bridge the gap between technology and business. We focus on what we are best at: analysing social media and giving insights; so our customers can focus on what they are best at: their core business. The expertise of our research team, the flexibility of our social analytics platform and the breadth and depth of our data empower our customers. </p>
<p>They can develop better products because we help them understand the needs and wants of their target audiences. They can keep ahead of their competitors and keep up with their industry’s cutting edge because we help them see what’s in the big picture and what is not. This is why we work with brands like Nike, Samsung and Nestle, and many communication agencies across Europe.</p>","<p>Our Company, Replise, a growing and exciting social media analytics company has an immediate need for a Senior Front End Developer for a permanent position.</p>
<p>In this role, you will collaborate with the dev team and cross-functionally (Designers, UX, and PMs) to create exciting and interactive experiences. This is a fast-paced environment that is always changing, yet stable and creative.</p>
<p>Responsibilities:</p>
<ul>
<li>Work with the Front End and internal business teams to develop client software</li>
<li>Identify requirements and suggest solutions necessary to meet those requirements</li>
<li>Lead development to a completed solution</li>
<li>Serve as a resource for scoping and scheduling of projects</li>
<li>Write standards-compliant Front End code using Javascript, CSS, and HTML</li>
<li>Translate visual designs, user experience flows, and content into functional and engaging interfaces</li>
<li>Choose proper technologies based on requirements and design</li>
</ul>","<p> Requirements:</p>
<ul>
<li>4+ years of coding using Javascript, CSS, and HTML</li>
<li>Solid understanding of web application development processes</li>
<li>Web service API’s</li>
<li>Ability to develop pixel-perfect implementation of Photoshop comps</li>
<li>Can manage numerous tasks/deadlines at once.</li>
</ul><p>Preferences:</p>
<ul>
<li>Strong preference for experience working at an advertising or consulting agency, or a social media platform</li>
<li>Javascript libraries (Backbone, ember, angular)</li>
</ul>","<p><b>About Replise</b></p>
<p>At Replise, we believe in social media. We draw business insights from social media using proven market research methodologies. We help our customers get the cutting edge intelligence they need to create their strategies and define their tactics. </p>
<p>Replise was started in 2008, just a year after Twitter was launched, by a bunch of serial entrepreneurs who believed they could bridge the gap between technology and business. We focus on what we are best at: analysing social media and giving insights; so our customers can focus on what they are best at: their core business. The expertise of our research team, the flexibility of our social analytics platform and the breadth and depth of our data empower our customers. </p>
<p>They can develop better products because we help them understand the needs and wants of their target audiences. They can keep ahead of their competitors and keep up with their industry’s cutting edge because we help them see what’s in the big picture and what is not. This is why we work with brands like Nike, Samsung and Nestle, and many communication agencies across Europe. Now, we are extending our business operations in the US and Canada, so we’re recruiting a complete team of social media and IT pros.</p>",f,t,f,Full-time,,,Research,,f,f
Software Engineer - Android,"US, CA, San Francisco",,,"<p>Happy Typing, on any smart device.</p>
<p>Fleksy is officially the fastest keyboard in the world, and is so powerful that you can even type without looking.</p>
<p></p>","<p>Fleksy, is the next generation smart keyboard that lets you type on a touch-screen, <b>without even looking at the screen</b>. Fat fingers everywhere rejoice - we've solved this problem!</p>
<p>Holders of the <b>Guinness World Record</b> title for the fastest keyboard in the world (officially!), Fleksy is also the first company to ship a keyboard on a smartwatch, to enable typing in 3-D (with Leap Motion), and to enable truly blind typing on a smartphone. We are venture-backed by leading VC funds including Kleiner Perkins and Highland Capital Partners.</p>
<p>Since launching in December, Fleksy has already become the <b>fastest growing keyboard company</b> with millions of downloads. We are also one of the most anticipated products to launch with iOS 8. Apple is, for the first time, allowing third party keyboards on iOS, which makes this a fantastic time for our company.</p>
<p>We are now preparing to take our technology to the next level, and are looking for motivated engineers to join our team.</p>
<p>You will be working as part of the team that develops the <b>Android Application</b> side of our app. Our Android app has already been downloaded over 2 million times - and we are currently working with a number of partners on projects to bring our user base to the <b>tens of millions of users</b> in the coming months. Up for the challenge?</p>","<p>The successful candidate will have:</p>
<ul>
<li>A degree in Computer Science / Software Engineering.</li>
<li>Very good command of Java. Use of Android NDK and/or C++ experience will be an advantage.</li>
<li>A passion for the product. An eye for what truly constitutes a great typing experience, not an incremental improvement over current systems.</li>
<li>The ability to deliver rock-solid work which will stand the test of users. That’s billions of words typed <i>every day</i>.</li>
<li>The ability to learn and grow as the company grows.</li>
</ul>","<p>We are the most innovative keyboard company in the world, and are currently experiencing explosive growth. Put simply, you will be joining a very hot startup at a very exciting stage.</p>
<p>Up for the challenge? Here's what we offer:</p>
<ul>
<li>A dynamic work environment alongside talented people.</li>
<li>Competitive salary</li>
<li>Employee equity incentives</li>
<li>15 day paid vacation</li>
<li>Free lunch</li>
<li>Gold Health, dental and vision insurance</li>
<li>Career development and the opportunity to grow with a fast-growing company</li>
</ul><p><br>Excited much? Apply now!<br>No recruiter referrals are accepted for this position. If you are a recruiter, please don’t ignore this notice – we won’t work with you if you do.</p>",f,t,t,Full-time,Associate,Bachelor's Degree,Computer Software,Information Technology,f,f
Outside Sales Professional-LaSalle,"US, IL, LaSalle",,,"<p>ABC Supply Co., Inc. is the nation’s largest wholesale distributor of roofing and one of the largest distributors of siding, windows, and other exterior building products. Since our start in 1982, we've grown to become a national organization with over 450 locations in 45 states. Our mission is to be the biggest, best, and easiest service company distributing exterior building products. We fulfill that mission by stocking the brands and products contractors need at competitive prices, operating a state-of-the-art delivery system, and actively listening to our customers. We know that we will only be successful when our customers are successful. That’s why we make good on our promises every day.</p>","<p>As an Outside Sales Representative, you must have excellent sales talents as well as the willingness to learn the ABC Supply sales approach. It will also be very helpful to your role as an Outside Sales Representative if you have existing knowledge of exterior building product lines such as siding, roofing, and windows.  This will not only to lend credibility to your sales presentations, but also to assist the Branch Manager in the selection of new product lines. It is also vital for your role as an Outside Sales Representative that you have empathy for your customers and their needs, and always provide them with the best possible service.</p>","<ul>
<li>Track Record of Sales Success – B2B or B2C</li>
<li>No minimum experience required, but specific industry knowledge is <i>strongly preferred</i>
</li>
<li>Familiarity with product lines and the overall building contractor process is <i>strongly preferred</i>
</li>
<li>Past Experience in a production-measured environment, <i>highly desired</i>
</li>
<li>Valid driver’s license, clean driving record, and own reliable vehicle</li>
<li>Exceptional verbal and written communication, interpersonal and public speaking skills</li>
<li>Professional appearance and demeanor</li>
<li>Superior time-management and planning skills</li>
<li>Excellent attention to detail and organizational skills</li>
<li>Positive, team-oriented attitude</li>
<li>Self Motivated</li>
<li>High school diploma or equivalent; college degree preferred</li>
<li>Stable job history</li>
<li>Willingness to travel within territory, as needed</li>
<li>Automobile and Insurances to company standards</li>
</ul>","<p>As an Outside Sales Representative, you will receive <i>paid</i> sales training, which will include professional development sessions with veteran ABC sales representatives! You will also receive consistent product training, particularly when we adopt new products and product lines. You will find there is plenty of opportunity for growth as an Outside Sales Representative, both within the role itself, and possibilities in Management. We value your hard work and professional dedication as an Outside Sales Representative, and will reward you with an excellent compensation package. We have a very competitive commission-based pay structure, and you will continue to receive commission on your established accounts with every purchase they make. You will also receive a comprehensive benefits package!</p>",f,t,f,,,,,,f,t
NY | POOL UI @DS+LW,"US, NY, ",,,"<p>Kettle is an independent digital agency based in New York City and the Bay Area. We’re committed to making digital do more — for both people and brands — because we believe the digital world offers more than meets the eye. Every online experience has the potential to change a life, a brand, or even change the world. And we carry this philosophy into each and every product we build.</p>",<p>Let's post here candidates we like but don't have an open position for.</p>,,,f,t,f,,,,,,f,f
Administrative Assistant,"US, WA, Bellingham",,28000-32000,"<p>POS-X is a rapidly growing point-of-sale hardware manufacturer located in Bellingham, WA.  The POS-X environment consists of highly motivated, yet easy going individuals who all have a common interest in the company's core values. These include enjoying life, work, and each other; communication; being real; pursuing excellence, selflessness; embracing change; and getting work done!  Any chosen candidate should be personable and able to adapt easily to a free-flow environment where the sharing of ideas and knowledge is paramount.   </p>
<p><img src=""#URL_5776c3e49a5bb20a9ea543f76dc5e83b327670e10595e85feb9df1480fb57c74#""></p>","<p>We are currently looking for an Administrative Assistant to work on-site in our Bellingham office.  Successful candidates will be highly capable in a vast array of administrative skills and be highly flexible to meet the changing needs of the company.  This position will work directly with the Corporate and Accounting team and perform many duties requiring proficiency with computer usage, excellent communication skills, and top-notch organization skills.  A successful candidate must be able to juggle the needs of multiple managers while organizing their schedule to ensure priority goes to the most critical duties. </p>
<p><b>Key Responsibilities:</b></p>
<p>Provide administrative support to executives and finance department manager</p>
<ul>
<li>Book travel arrangements</li>
<li>Help plan and execute company events</li>
<li>Data entry, including entering bills and charges into financial software. </li>
<li>Assist the finance department with Account Receivable analysis and communication.</li>
<li>Assist members of corporate team with other miscellaneous tasks and projects as needed. </li>
</ul><p>Maintain an orderly and efficient company office</p>
<ul>
<li>Order and maintain office supplies</li>
<li>Maintain electronic and manual filing of documents and paperwork.</li>
<li>Help ensure a clean and organized company office, including but not limited to tidying up common areas, washing towels, keeping general office décor fresh and appealing, and help manage cleaning services as needed.</li>
<li>Open incoming mail and office packages and distribute</li>
<li>Respond to or forward general company emails.</li>
<li>Answer or forward general company phone calls and voice messages</li>
<li>Other miscellaneous duties as needed  </li>
</ul>","<p><b>Requirements:</b></p>
<ul>
<li>Well organized and self-directed</li>
<li>Excellent time management</li>
<li>Friendly, personable and flexible</li>
<li>Strong communication skills, both verbal and written</li>
<li>Ability to maintain confidentiality</li>
<li>Proficient at keyboarding and general computer usage (documents, spreadsheets, PDFs, etc)</li>
<li>4-year degree or 3+ years experience in office administration or similar field</li>
</ul>","<p>$14~$16/hr DOE + Medical, 401k and Bonus Opportunities</p>",f,t,t,Full-time,Entry level,Bachelor's Degree,Computer Hardware,Administrative,f,f
"Human Resource Generalist & Benefits Coordinator--Grand Junction, CO",,,,"<p>Critical Nurse Staffing, Inc. is enrolled with the <b>U.S Department of Labor</b> to provide nursing care to the former defense workers now receiving benefits through the <b>RECA</b> and <b>EEOICP</b> programs.</p>
<p>We are proud to provide services to Defense Industry Workers covered under the Federal EEOICP and RECA programs, as well as recipients of the Federal Black Lung Benefits Program.</p>
<p>We proudly provide care for the following patient groups:</p>
<ul>
<li><b>Uranium Miners, Millers and Transporters</b></li>
<li><b>Nuclear Weapons Plant Employees or Contractors</b></li>
<li><b>Former Coal Miners</b></li>
</ul><p>Our service offers an integrated team of personal case managers, nurses, respiratory therapists and home aides. Our services focus on addressing the full range of a clients needs, including a client’s medical condition, the client’s comfort, emotional well-being, independence, functionality as well as nutritional and psychosocial needs.</p>","<p>Critical Nurse Staffing, Inc. is looking for a Human Resource Generalist who will also be responsible for working with employee benefits. This position is responsible for the administration and oversight of CNS’s benefit plans including but not limited to Medical Insurance. This person will assist employees with benefit enrollment, changes and education, maintaining employee database, tracking all eligible employees, and maintaining employee files and assist with process of hiring new employees.</p>
<p>Must be able to work in a team, demonstrate initiative and skills in planning and organizing work, document all processes in a timely manner, utilize interpersonal skills, and communicate effectively with diverse employee population.</p>
<p>Apply online at <a href=""#URL_5567224f26904a735f49e3c294fc4fdd2c284b14e7f34ca414b40b57e2d98d26#"" rel=""nofollow"" class=""external"">#URL_3de7bc96a866b70cd19961fa0408e18bb9099c46402d5b8131207082ff0dd3b6#</a> or send a resume to #EMAIL_d959ebabd9fb698f62b107e34f1fdd15c8e496c70693ade74366c4ebc8d3f99c#</p>
<p>.</p>","<p><b>Position Requirements:</b></p>
<p>High school diploma or equivalent</p>
<p>Minimum of one year experience in an office setting</p>
<p>Human Resource experience preferred, but not required.</p>
<p></p>",,f,t,f,Full-time,Entry level,High School or equivalent,,,f,f
Accounting Associate - Restaurant Experience,"US, MO, St Louis",,,"<p>O|Miga is a different type of business services firm.  Founded by x-Big 4 partners, O|Miga offers accounting, payroll, human resources and other support services specifically tailored to the needs of small and mid-sized entrepreneurial businesses. We provide these services in a way that is more practical, efficient and cost effective, than traditional firms; by a team of experienced professionals that thrive on working with dynamic growing clients.</p>","<h3>Experienced Restaurant Accountant and Operations Manager Needed</h3>
<p>If you can bring energy, enthusiasm and enjoy directly advising business owners; we would like to meet you. O|Miga is a fast growing, St Louis based accounting and back office services firm with national and local clients. We provide accounting, payroll, HR and other support services to our fast growing and high performing organizations.  One of our key and expanding customer segments is the restaurant industry, and we are looking for candidates with experience in restaurant operations, finance and accounting.   Our unique delivery model enables our team to help our clients to improve and grow their operations.  Our clients are able to grow faster because we deliver more than just the numbers. We get the work done that prevents them from focusing on their core business.</p>
<p>Our Associates have a broad base of business knowledge with specific skills in accounting, finance  and human resources. They must combine these with exceptional communication skills and a high attention to detail. Strong technical skills are also highly valued.</p>
<p>Select Job Responsibilities Include:</p>
<ul>
<li>Posting daily banking transactions</li>
<li>Responding to client inquiries and requests</li>
<li>Maintain Employee Records:  Including onboarding; payroll; benefits; performance management and termination records</li>
<li>Processing Accounts Payable ; including: Review and approve all payments for accuracy prior to being processed; Obtain appropriate client approvals for payment processing. </li>
<li>Reporting &amp; Analysis; including: preparing management reports, operational and profitability analysis; developing recommendations for improvement; and preparing budgets and cash forecasts</li>
<li>Executing Month End Close; including bank reconciliations; monthly journal entries; and variance analyses</li>
<li>Maintaining Corporate Records, including: Contracts; shareholder records; tax records; corporate registrations; business licenses; and other local, state and federal records of the business.</li>
</ul>","<p>A bachelor’s degree in Accounting, Business Administration, Economics or Restaurant &amp; Hospitality Management is required.  The ideal candidate will have hands on experience in the industry and/or in a multi-client service environment.  In addition you must have strong computer, analytical and communication skills.  </p>
<p>  </p>
<p></p>","<p>We are a fast growing, entrepreneurial company that offers a competitive salary and unlimited opportunities to motivated and hard working professionals.  Come join our team and help us to shape a new technology driven service to support business owners in their quest for greatness.</p>
<p>Learn more about us at <a href=""#URL_874be6b74707e448582240adc8f9d12e83e280caf20541c78503234817716ec5#-#URL_c8641c067af86c0d1662986f98b8fc2523a27e8b728883439bce789aa039831a#"">#URL_7d7733ec1aaf5fd4aff32370e35b3d4ee513dc4433000f54239153298dff6413#-#URL_9cb8b62a8a01a1de9ec9c19af659ff905947bb6136dcfd884493a3e35987ad9a#</a> </p>",f,t,t,Full-time,Associate,Bachelor's Degree,,,f,f
